"TABLE","OLD_MODULES","OLD_DICT_ROWS","OLD_TOPIC_ROWS","OLD_FIELD_ROWS_TOTAL","OLD_FIELD_UNION","NEO_DETAIL_ROUTE","NEO_DICT_ROWS","NEO_FIELDS","NEO_PAGE_IN_LAST_BUILD","STATUS","NOTES"
"BUT000","PM+PP-PI","2","PM#9 PP-PI#7","10","5","/neo/tables/BUT000/","2","5","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"COBRA","PM","1","PM#10","4","4","/neo/tables/COBRA/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"COBRB","PM","1","PM#10","5","5","/neo/tables/COBRB/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"COSP","PM","1","PM#10","5","5","/neo/tables/COSP/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"COSS","PM","1","PM#10","5","5","/neo/tables/COSS/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"CRCA","PP-PI","1","PP-PI#5","4","4","/neo/tables/CRCA/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"CRCO","PP-PI","1","PP-PI#5","6","6","/neo/tables/CRCO/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"CRFH","PP-PI","1","PP-PI#5","4","4","/neo/tables/CRFH/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"CRHD","PM+PP-PI","2","PM#1 PP-PI#5","13","7","/neo/tables/CRHD/","2","7","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"CRTX","PM+PP-PI","2","PM#1 PP-PI#5","7","4","/neo/tables/CRTX/","2","4","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"CRVD_A","PP-PI","1","PP-PI#5","3","3","/neo/tables/CRVD_A/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"CSLA","PP-PI","1","PP-PI#5","3","3","/neo/tables/CSLA/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"EBAN","PM","1","PM#9","5","5","/neo/tables/EBAN/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"EBKN","PM","1","PM#9","5","5","/neo/tables/EBKN/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"EQKT","PM","1","PM#2","3","3","/neo/tables/EQKT/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"EQST","PM","1","PM#3","4","4","/neo/tables/EQST/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"EQUI","PM","1","PM#2","6","6","/neo/tables/EQUI/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"EQUZ","PM","1","PM#2","5","5","/neo/tables/EQUZ/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"FHMI","PP-PI","1","PP-PI#3","4","4","/neo/tables/FHMI/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"IFLOS","PM","1","PM#1","5","5","/neo/tables/IFLOS/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"IFLOT","PM","1","PM#1","6","6","/neo/tables/IFLOT/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"ILOA","PM","1","PM#1","6","6","/neo/tables/ILOA/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"IMPTT","PM","1","PM#4","6","6","/neo/tables/IMPTT/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"IMRG","PM","1","PM#4","6","6","/neo/tables/IMRG/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"JEST","PM+PP-PI","2","PM#8 PP-PI#7","8","4","/neo/tables/JEST/","2","4","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"JSTO","PM+PP-PI","2","PM#8 PP-PI#7","8","4","/neo/tables/JSTO/","2","4","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"KAKO","PP-PI","1","PP-PI#5","4","4","/neo/tables/KAKO/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"KAZT","PP-PI","1","PP-PI#5","6","6","/neo/tables/KAZT/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"KDST","PP-PI","1","PP-PI#2","4","4","/neo/tables/KDST/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MAKT","PP-PI","1","PP-PI#1","4","4","/neo/tables/MAKT/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MAPL","PP-PI","1","PP-PI#3","5","5","/neo/tables/MAPL/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MARA","PP-PI","1","PP-PI#1","8","8","/neo/tables/MARA/","1","8","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MARC","PP-PI","1","PP-PI#1","8","8","/neo/tables/MARC/","1","8","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MARD","PP-PI","1","PP-PI#1","5","5","/neo/tables/MARD/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MARM","PP-PI","1","PP-PI#1","6","6","/neo/tables/MARM/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MAST","PM+PP-PI","2","PM#3 PP-PI#2","10","5","/neo/tables/MAST/","2","5","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"MBEW","PP-PI","1","PP-PI#1","6","6","/neo/tables/MBEW/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MCH1","PP-PI","1","PP-PI#1","7","7","/neo/tables/MCH1/","1","7","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MCHA","PP-PI","1","PP-PI#1","4","4","/neo/tables/MCHA/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MDMA","PP-PI","1","PP-PI#1","4","4","/neo/tables/MDMA/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MEAN","PP-PI","1","PP-PI#1","5","5","/neo/tables/MEAN/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MHIO","PM","1","PM#11","5","5","/neo/tables/MHIO/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MHIS","PM","1","PM#11","4","4","/neo/tables/MHIS/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MKAL","PP-PI","1","PP-PI#4","15","15","/neo/tables/MKAL/","1","15","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MKPF","PM","1","PM#9","5","5","/neo/tables/MKPF/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MLAN","PP-PI","1","PP-PI#1","3","3","/neo/tables/MLAN/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MLGN","PP-PI","1","PP-PI#1","4","4","/neo/tables/MLGN/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MLGT","PP-PI","1","PP-PI#1","4","4","/neo/tables/MLGT/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MPLA","PM","1","PM#11","5","5","/neo/tables/MPLA/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MPOS","PM","1","PM#11","6","6","/neo/tables/MPOS/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MSEG","PM","1","PM#9","6","6","/neo/tables/MSEG/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"MVKE","PP-PI","1","PP-PI#1","4","4","/neo/tables/MVKE/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"OBJK","PM","1","PM#2","5","5","/neo/tables/OBJK/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"PLAS","PP-PI","1","PP-PI#3","6","6","/neo/tables/PLAS/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"PLFL","PP-PI","1","PP-PI#3","4","4","/neo/tables/PLFL/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"PLKO","PM+PP-PI","2","PM#11 PP-PI#3","12","7","/neo/tables/PLKO/","2","7","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"PLMK","PP-PI","1","PP-PI#3","6","6","/neo/tables/PLMK/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"PLMZ","PP-PI","1","PP-PI#3","5","5","/neo/tables/PLMZ/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"PLPO","PM+PP-PI","2","PM#11 PP-PI#3","15","10","/neo/tables/PLPO/","2","10","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"PLZU","PP-PI","1","PP-PI#3","3","3","/neo/tables/PLZU/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"QMAT","PP-PI","1","PP-PI#1","4","4","/neo/tables/QMAT/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"QMEL","PM","2","PM#6 PM#12","11","9","/neo/tables/QMEL/","1","6","yes","PARTIAL","dictionary row dropped by lib/module-portal.moduleTables() dedupe-by-name-within-module; dropped topic(s)=PM#12 ""12. היסטוריה וארכיון""; fields lost=AUSVN AUSBS AUSZT; relations on dropped row=7; tcodes on dropped row=IW64; IW66/IW67. SCOPE: the loss is confined to the DETAIL pages /neo/tables/QMEL/ and /neo/object/QMEL/, both of which read erd/model.occurrences() -> moduleTables(). The NEO module workspace (components/neo-shell/workspace/workspace-data.ts rowsOf(), flatMap over topics, no dedupe) still lists the second row, as does OLD app/pm|pp-pi/[section] via lib/module-portal.tablesByTopic(). OLD /object/QMEL/ also collapses to one row (ALL_TABLES.find), so the detail-page behaviour matches OLD; only the field union is narrower than the dataset."
"QMFE","PM","1","PM#6","6","6","/neo/tables/QMFE/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"QMMA","PM","1","PM#6","4","4","/neo/tables/QMMA/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"QMSM","PM","1","PM#6","5","5","/neo/tables/QMSM/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"QMUR","PM","1","PM#6","5","5","/neo/tables/QMUR/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"QPCD","PM","1","PM#5","4","4","/neo/tables/QPCD/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"QPGR","PM","1","PM#5","4","4","/neo/tables/QPGR/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"RESB","PM+PP-PI","2","PM#9 PP-PI#6","12","6","/neo/tables/RESB/","2","6","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"STAS","PP-PI","1","PP-PI#2","5","5","/neo/tables/STAS/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"STKO","PM+PP-PI","2","PM#3 PP-PI#2","11","6","/neo/tables/STKO/","2","6","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"STPO","PM+PP-PI","2","PM#3 PP-PI#2","14","9","/neo/tables/STPO/","2","9","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"STPU","PP-PI","1","PP-PI#2","3","3","/neo/tables/STPU/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"STZU","PP-PI","1","PP-PI#2","4","4","/neo/tables/STZU/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"T003O","PM+PP-PI","2","PM#7 PP-PI#7","8","5","/neo/tables/T003O/","2","5","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"T006","PP-PI","1","PP-PI#1","5","5","/neo/tables/T006/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"T023","PP-PI","1","PP-PI#7","2","2","/neo/tables/T023/","1","2","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"T023T","PP-PI","1","PP-PI#7","3","3","/neo/tables/T023T/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"T134","PP-PI","1","PP-PI#7","3","3","/neo/tables/T134/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"T134T","PP-PI","1","PP-PI#7","3","3","/neo/tables/T134T/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"T352","PM","1","PM#5","3","3","/neo/tables/T352/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"T352B","PM","1","PM#5","4","4","/neo/tables/T352B/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"T370T","PM","1","PM#1","3","3","/neo/tables/T370T/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"T399X","PP-PI","1","PP-PI#7","4","4","/neo/tables/T399X/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"T438M","PP-PI","1","PP-PI#7","2","2","/neo/tables/T438M/","1","2","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"TC22","PP-PI","1","PP-PI#7","4","4","/neo/tables/TC22/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"TC60","PP-PI","1","PP-PI#3","3","3","/neo/tables/TC60/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"TCA01","PP-PI","1","PP-PI#3","3","3","/neo/tables/TCA01/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"TCK03","PP-PI","1","PP-PI#7","3","3","/neo/tables/TCK03/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"TCO01","PP-PI","1","PP-PI#7","4","4","/neo/tables/TCO01/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"TJ02T","PM+PP-PI","2","PM#8 PP-PI#7","8","4","/neo/tables/TJ02T/","2","4","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"TJ30","PM+PP-PI","2","PM#8 PP-PI#7","9","6","/neo/tables/TJ30/","2","6","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"TJ30T","PM+PP-PI","2","PM#8 PP-PI#7","10","5","/neo/tables/TJ30T/","2","5","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"TPST","PM","1","PM#3","4","4","/neo/tables/TPST/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"TQ80","PM","1","PM#6","4","4","/neo/tables/TQ80/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
