"OBJECT","OLD_ROUTE","NEO_ROUTE","DATA_SOURCE","OTHER_NEO_SURFACE","OLD_PAGE_IN_LAST_BUILD","NEO_PAGE_IN_LAST_BUILD","STATUS","NOTES"
"BKPF","/object/BKPF/","—","verified-objects","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/BKPF/ exists, /neo/object/BKPF/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"BSEG","/object/BSEG/","—","verified-objects","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/BSEG/ exists, /neo/object/BSEG/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"BUT000","/object/BUT000/","/neo/object/BUT000/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 2 dictionary rows"
"CDS_AnalyticalView","/object/CDS_AnalyticalView/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/CDS_AnalyticalView/ exists, /neo/object/CDS_AnalyticalView/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"COBRA","/object/COBRA/","/neo/object/COBRA/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 2 neighbours / 1 dictionary rows"
"COBRB","/object/COBRB/","/neo/object/COBRB/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"COMP_Worksheet","/object/COMP_Worksheet/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/COMP_Worksheet/ exists, /neo/object/COMP_Worksheet/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"COSP","/object/COSP/","/neo/object/COSP/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"COSS","/object/COSS/","/neo/object/COSS/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"CRCA","/object/CRCA/","/neo/object/CRCA/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 2 neighbours / 1 dictionary rows"
"CRCO","/object/CRCO/","/neo/object/CRCO/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 2 neighbours / 1 dictionary rows"
"CRFH","/object/CRFH/","/neo/object/CRFH/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 0 neighbours / 1 dictionary rows"
"CRHD","/object/CRHD/","/neo/object/CRHD/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 7 fields / 7 neighbours / 2 dictionary rows"
"CRTX","/object/CRTX/","/neo/object/CRTX/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 2 dictionary rows"
"CRVD_A","/object/CRVD_A/","/neo/object/CRVD_A/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 1 neighbours / 1 dictionary rows"
"CSLA","/object/CSLA/","/neo/object/CSLA/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 1 neighbours / 1 dictionary rows"
"CompositeProvider","/object/CompositeProvider/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/CompositeProvider/ exists, /neo/object/CompositeProvider/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"EBAN","/object/EBAN/","/neo/object/EBAN/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 2 neighbours / 1 dictionary rows"
"EBKN","/object/EBKN/","/neo/object/EBKN/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 2 neighbours / 1 dictionary rows"
"EC_EmployeeProfile","/object/EC_EmployeeProfile/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/EC_EmployeeProfile/ exists, /neo/object/EC_EmployeeProfile/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"EC_EmploymentInfo","/object/EC_EmploymentInfo/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/EC_EmploymentInfo/ exists, /neo/object/EC_EmploymentInfo/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"EC_JobInformation","/object/EC_JobInformation/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/EC_JobInformation/ exists, /neo/object/EC_JobInformation/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"EC_Position","/object/EC_Position/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/EC_Position/ exists, /neo/object/EC_Position/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"EQKT","/object/EQKT/","/neo/object/EQKT/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 1 neighbours / 1 dictionary rows"
"EQST","/object/EQST/","/neo/object/EQST/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 2 neighbours / 1 dictionary rows"
"EQUI","/object/EQUI/","/neo/object/EQUI/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 8 neighbours / 1 dictionary rows"
"EQUZ","/object/EQUZ/","/neo/object/EQUZ/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 2 neighbours / 1 dictionary rows"
"FHMI","/object/FHMI/","/neo/object/FHMI/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"FO_BusinessUnit","/object/FO_BusinessUnit/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/FO_BusinessUnit/ exists, /neo/object/FO_BusinessUnit/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"FO_CostCenter","/object/FO_CostCenter/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/FO_CostCenter/ exists, /neo/object/FO_CostCenter/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"FO_Department","/object/FO_Department/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/FO_Department/ exists, /neo/object/FO_Department/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"FO_Division","/object/FO_Division/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/FO_Division/ exists, /neo/object/FO_Division/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"FO_Location","/object/FO_Location/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/FO_Location/ exists, /neo/object/FO_Location/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"HRP1000","/object/HRP1000/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/HRP1000/ exists, /neo/object/HRP1000/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"HRP1001","/object/HRP1001/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/HRP1001/ exists, /neo/object/HRP1001/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"HRP1007","/object/HRP1007/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/HRP1007/ exists, /neo/object/HRP1007/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"IFLOS","/object/IFLOS/","/neo/object/IFLOS/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"IFLOT","/object/IFLOT/","/neo/object/IFLOT/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 6 neighbours / 1 dictionary rows"
"ILOA","/object/ILOA/","/neo/object/ILOA/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 3 neighbours / 1 dictionary rows"
"IMPTT","/object/IMPTT/","/neo/object/IMPTT/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 1 neighbours / 1 dictionary rows"
"IMRG","/object/IMRG/","/neo/object/IMRG/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 1 neighbours / 1 dictionary rows"
"JEST","/object/JEST/","/neo/object/JEST/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 2 neighbours / 2 dictionary rows"
"JSTO","/object/JSTO/","/neo/object/JSTO/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 7 neighbours / 2 dictionary rows"
"KAKO","/object/KAKO/","/neo/object/KAKO/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 2 neighbours / 1 dictionary rows"
"KAZT","/object/KAZT/","/neo/object/KAZT/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 1 neighbours / 1 dictionary rows"
"KDST","/object/KDST/","/neo/object/KDST/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"KNA1","/object/KNA1/","—","verified-objects","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/KNA1/ exists, /neo/object/KNA1/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"LAGP","/object/LAGP/","—","verified-objects","none","yes","no","MISSING","/object/LAGP/ exists, /neo/object/LAGP/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It appears on no NEO surface at all."
"LIKP","/object/LIKP/","—","verified-objects","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/LIKP/ exists, /neo/object/LIKP/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"LIPS","/object/LIPS/","—","verified-objects","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/LIPS/ exists, /neo/object/LIPS/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"LMS_Curriculum","/object/LMS_Curriculum/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/LMS_Curriculum/ exists, /neo/object/LMS_Curriculum/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"LMS_LearningItem","/object/LMS_LearningItem/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/LMS_LearningItem/ exists, /neo/object/LMS_LearningItem/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"LQUA","/object/LQUA/","—","verified-objects","none","yes","no","MISSING","/object/LQUA/ exists, /neo/object/LQUA/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It appears on no NEO surface at all."
"LTAK","/object/LTAK/","—","verified-objects","none","yes","no","MISSING","/object/LTAK/ exists, /neo/object/LTAK/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It appears on no NEO surface at all."
"LTAP","/object/LTAP/","—","verified-objects","none","yes","no","MISSING","/object/LTAP/ exists, /neo/object/LTAP/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It appears on no NEO surface at all."
"MAKT","/object/MAKT/","/neo/object/MAKT/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"MAPL","/object/MAPL/","/neo/object/MAPL/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 2 neighbours / 1 dictionary rows"
"MARA","/object/MARA/","/neo/object/MARA/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 8 fields / 10 neighbours / 1 dictionary rows"
"MARC","/object/MARC/","/neo/object/MARC/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 8 fields / 6 neighbours / 1 dictionary rows"
